---,x,y
887,"27.740000","5.000000"
888,"27.760000","10.000000"
889,"27.780001","5.000000"
890,"27.799999","5.000000"
891,"27.820000","5.000000"
892,"27.840000","5.000000"
893,"27.860001","5.000000"
894,"27.879999","5.000000"
895,"27.900000","1.000000"
896,"27.920000","1.000000"
897,"27.940001","5.000000"
898,"27.959999","5.000000"
899,"27.980000","15.000000"
900,"28.000000","5.000000"
901,"28.020000","5.000000"
902,"28.040001","5.000000"
903,"28.059999","10.000000"
904,"28.080000","5.000000"
905,"28.100000","10.000000"
906,"28.120001","1.000000"
907,"28.139999","15.000000"
908,"28.160000","5.000000"
909,"28.180000","5.000000"
910,"28.200001","5.000000"
911,"28.219999","5.000000"
912,"28.240000","10.000000"
913,"28.260000","5.000000"
914,"28.280001","5.000000"
915,"28.299999","10.000000"
916,"28.320000","1.000000"
917,"28.340000","15.000000"
918,"28.360001","5.000000"
919,"28.379999","10.000000"
920,"28.400000","5.000000"
921,"28.420000","5.000000"
922,"28.440001","5.000000"
923,"28.459999","5.000000"
924,"28.480000","10.000000"
925,"28.500000","5.000000"
926,"28.520000","10.000000"
927,"28.540001","5.000000"
928,"28.559999","10.000000"
929,"28.580000","5.000000"
930,"28.600000","5.000000"
931,"28.620001","10.000000"
932,"28.639999","5.000000"
933,"28.660000","10.000000"
934,"28.680000","1.000000"
935,"28.700001","10.000000"
936,"28.719999","15.000000"
937,"28.740000","10.000000"
938,"28.760000","10.000000"
939,"28.780001","1.000000"
940,"28.799999","1.000000"
941,"28.820000","1.000000"
942,"28.840000","5.000000"
943,"28.860001","5.000000"
944,"28.879999","10.000000"
945,"28.900000","15.000000"
946,"28.920000","5.000000"
947,"28.940001","10.000000"
948,"28.959999","5.000000"
949,"28.980000","5.000000"
950,"29.000000","15.000000"
951,"29.020000","20.000000"
952,"29.040001","10.000000"
953,"29.059999","10.000000"
954,"29.080000","10.000000"
955,"29.100000","30.000000"
956,"29.120001","40.000000"
957,"29.139999","10.000000"
958,"29.160000","10.000000"
959,"29.180000","5.000000"
960,"29.200001","5.000000"
961,"29.219999","10.000000"
962,"29.240000","5.000000"
963,"29.260000","5.000000"
964,"29.280001","5.000000"
965,"29.299999","15.000000"
966,"29.320000","10.000000"
967,"29.340000","10.000000"
968,"29.360001","15.000000"
969,"29.379999","1.000000"
970,"29.400000","5.000000"
971,"29.420000","10.000000"
972,"29.440001","10.000000"
973,"29.459999","5.000000"
974,"29.480000","5.000000"
975,"29.500000","5.000000"
976,"29.520000","15.000000"
977,"29.540001","20.000000"
978,"29.559999","5.000000"
979,"29.580000","5.000000"
980,"29.600000","20.000000"
981,"29.620001","20.000000"
982,"29.639999","5.000000"
983,"29.660000","20.000000"
984,"29.680000","1.000000"
985,"29.700001","15.000000"
986,"29.719999","10.000000"
987,"29.740000","15.000000"
988,"29.760000","10.000000"
989,"29.780001","5.000000"
990,"29.799999","10.000000"
991,"29.820000","5.000000"
992,"29.840000","10.000000"
993,"29.860001","10.000000"
994,"29.879999","10.000000"
995,"29.900000","15.000000"
996,"29.920000","5.000000"
